someone,誰か
schoolyard,校庭
suitcase,スーツケース
window,窓
chair,いす
eel,ウナギ
musical instrument,楽器（2語）
marathon,マラソン
run,(マラソンに)出る
cream puff,シュークリーム（2語）
I’ve,I haveの短縮形
eaten,eatの過去分詞
so-so,まあまあ、大したことない
ever,今までに（疑問文で）
haven’t,have notの短縮形
been,beの過去分詞
twice,2回
sell out ～,～を売りつくす（2語）
never,一度も～ない
cherry blossom,サクラの花（2語）
noon,正午
starving,お腹がすいて、餓死しそうな
colorful,色彩豊かな
carrot,ニンジン
homemade,自家製の
train,列車
travel,旅行する（6文字）
variety,種類、多様性
cause,原因
food waste,食品廃棄物（2語）
chain,チェーン（店）
reduce,減らす
heard,hearの過去形・過去分詞
chilled,冷却された（凍らない程度）
few,少ない（fから）
normal,ふつうの
in stock,在庫のある（2語）
hear of ～,～を耳にする（2語）
a few ～,少しの～、いくつかの（2語）
portion,1人前（食べ物）
pork cutlet,トンカツ（2語）
fried vegetables,野菜炒め（2語）
pickles,漬物、ピクルス
salted plum,梅干し（2語）
salmon,サケ
Japanese omelet,卵焼き（2語）
hamburger steak,ハンバーグ（2語）
meatball,ミートボール
suggest,勧める、提案する
chocolate,チョコレート
tight,ぐっすり、しっかり
gotten,getの過去分詞
yet,まだ（否定文）、もう（疑問文）
done,doの過去分詞
you’ve,you haveの短縮形
hurry,急ぐこと
already,すでに、もう
Harry Potter,ハリーポッター（小説）
in a hurry,急いで（3語）
base,もとにする、土台にする
Sky Family,スカイファミリー（架空の漫画）
since,～して以来、～してから
diary,日記
be based on ～,～をもとに作られている（３語）
keep a diary,日記をつけている（３語）
rope,縄
title,題、表題（本などの）
yet,もう（疑問文）、まだ（否定文）
dry,乾かす
hair,髪の毛、毛
right now,今すぐ（２語）
affect,影響を与える
health,健康、体調
least,最も少ないもの、最小限
tonight,今夜
lack,不足、欠乏
regular,規則正しい
at least,少なくとも、最低限（２語）
make up for ～,～を補う（３語）
later on,後で（２語）
felt,feelの過去形・過去分詞
concentrate,集中する（意識を）
kept,keepの過去形・過去分詞
habit,習慣、くせ
concentrate on ～,～に集中する（２語）
be full of ～,～でいっぱいである（３語）
bright,明るい
screen,画面
thus,こうして、だから（4文字）
introduce,導入する、紹介する
result,結果
employee,従業員
as a result,その結果として（3語）
position,守備位置、ポジション
tournament,勝ち抜き戦
tour,遠征、旅行、ツアー
